smarthome_id	VendorName	Vendor Websites	Policy Link On Website
413	orvibo	https://www.orvibo.com/	https://www.orvibo.com/en/privacy_policy.pdf
414	owletcare	https://owletcare.com/	https://owletcare.com/pages/privacy
415	ozaas	https://www.ozaas.com/	https://www.ozaas.com/privacy-policy.html
416	ozom	https://ozom.com/en/home.html	None
417	aircon	https://aircon.panasonic.com/top.html	https://www.panasonic.com/global/privacy-policy.html
418	pavlok	https://pavlok.com/	https://pavlok.com/privacy-policy?_ga=2.34917346.2120067476.1523256618-521774167.1521783744
419	pebblebee	https://pebblebee.com/	https://pebblebee.com/pages/privacy-policy
420	perenio	https://perenio.com/	https://perenio.com/privacy-policy
421	pert	http://www.pert.me/	http://www.pert.me/privacy-policy/
422	petcube	https://petcube.com/	https://petcube.com/docs/privacy-policy/
423	petnet	https://www.petnet.io/	None
